Entity,Day,Case fatality rate of COVID-19 (%),Year
Brazil,2021-03-03,2.4154148,2021
Brazil,2021-03-04,2.417233,2021
Brazil,2021-03-05,2.418882,2021
Brazil,2021-03-06,2.417792,2021
Brazil,2021-03-07,2.4175591,2021
Brazil,2021-03-08,2.4163907,2021
Brazil,2021-03-09,2.4085917,2021
Brazil,2021-03-10,2.4104784,2021
Brazil,2021-03-11,2.4128723,2021
Brazil,2021-03-12,2.4160743,2021
Brazil,2021-03-13,2.4197185,2021
Brazil,2021-03-14,2.4209785,2021
Brazil,2021-03-15,2.422314,2021
Brazil,2021-03-16,2.4228864,2021
Brazil,2021-03-17,2.42444,2021
Brazil,2021-03-18,2.4313884,2021
Brazil,2021-03-19,2.435257,2021
Brazil,2021-03-20,2.440399,2021
Brazil,2021-03-21,2.445493,2021
Brazil,2021-03-22,2.4497135,2021
Brazil,2021-03-23,2.4507108,2021
Brazil,2021-03-24,2.4521632,2021
Brazil,2021-03-25,2.462288,2021
Brazil,2021-03-26,2.4605951,2021
Brazil,2021-03-27,2.463132,2021
Brazil,2021-03-28,2.4758284,2021
Brazil,2021-03-29,2.4863172,2021
Brazil,2021-03-30,2.490736,2021
Brazil,2021-03-31,2.4962273,2021
Brazil,2021-04-01,2.509427,2021
Brazil,2021-04-02,2.521934,2021
Brazil,2021-04-03,2.5333953,2021
Brazil,2021-04-04,2.5422456,2021
Brazil,2021-04-05,2.5490448,2021
Brazil,2021-04-06,2.5524383,2021
Brazil,2021-04-07,2.5569556,2021
Brazil,2021-04-08,2.5720007,2021
Brazil,2021-04-09,2.582966,2021
Brazil,2021-04-10,2.5981078,2021
Brazil,2021-04-11,2.6075933,2021
Brazil,2021-04-12,2.613119,2021
Brazil,2021-04-13,2.6193175,2021
Brazil,2021-04-14,2.623332,2021
Brazil,2021-04-15,2.6354792,2021
Brazil,2021-04-16,2.6466072,2021
Brazil,2021-04-17,2.6584163,2021
Brazil,2021-04-18,2.6658247,2021
Brazil,2021-04-19,2.673925,2021
Brazil,2021-04-20,2.6775665,2021
Brazil,2021-04-21,2.681338,2021
Brazil,2021-04-22,2.6917393,2021
Brazil,2021-04-23,2.7011297,2021
Brazil,2021-04-24,2.7068233,2021
Brazil,2021-04-25,2.7141523,2021
Brazil,2021-04-26,2.7221565,2021
Brazil,2021-04-27,2.7250736,2021
Brazil,2021-04-28,2.7275696,2021
Brazil,2021-04-29,2.7353134,2021
Brazil,2021-04-30,2.7420776,2021
Brazil,2021-05-01,2.749605,2021
Brazil,2021-05-02,2.7544901,2021
Brazil,2021-05-03,2.7600007,2021
Brazil,2021-05-04,2.7627347,2021
Brazil,2021-05-05,2.7647836,2021
Brazil,2021-05-06,2.7703514,2021
Brazil,2021-05-07,2.7755787,2021
Brazil,2021-05-08,2.7789998,2021
Brazil,2021-05-09,2.7788193,2021
Brazil,2021-05-10,2.7817204,2021
Brazil,2021-05-11,2.7813358,2021
Brazil,2021-05-12,2.7825725,2021
Brazil,2021-05-13,2.7844548,2021
Brazil,2021-05-14,2.7867892,2021
Brazil,2021-05-15,2.7887607,2021
Brazil,2021-05-16,2.7876368,2021
Brazil,2021-05-17,2.7890422,2021
Brazil,2021-05-18,2.7883646,2021
Brazil,2021-05-19,2.788057,2021
Brazil,2021-05-20,2.7906601,2021
Brazil,2021-05-21,2.7933815,2021
Brazil,2021-05-22,2.794082,2021
Brazil,2021-05-23,2.7945051,2021
Brazil,2021-05-24,2.7930188,2021
Brazil,2021-05-25,2.7921457,2021
Brazil,2021-05-26,2.7905514,2021
Brazil,2021-05-27,2.7913127,2021
Brazil,2021-05-28,2.7922428,2021
Brazil,2021-05-29,2.7944527,2021
Brazil,2021-05-30,2.800433,2021
Brazil,2021-05-31,2.7991028,2021
Brazil,2021-06-01,2.7970188,2021
Brazil,2021-06-02,2.7970717,2021
Brazil,2021-06-03,2.798277,2021
Brazil,2021-06-04,2.7972713,2021
Brazil,2021-06-05,2.7933989,2021
Brazil,2021-06-06,2.7957401,2021
Brazil,2021-06-07,2.7948136,2021
Brazil,2021-06-08,2.7934282,2021
Brazil,2021-06-09,2.7932637,2021
Brazil,2021-06-10,2.7985466,2021
Brazil,2021-06-11,2.8004348,2021
Brazil,2021-06-12,2.80065,2021
Brazil,2021-06-13,2.7996745,2021
Brazil,2021-06-14,2.798717,2021
Brazil,2021-06-15,2.7991016,2021
Brazil,2021-06-16,2.7974494,2021
Brazil,2021-06-17,2.7986643,2021
Brazil,2021-06-18,2.800525,2021
Brazil,2021-06-19,2.801866,2021
Brazil,2021-06-20,2.800326,2021
Brazil,2021-06-21,2.8003075,2021
Brazil,2021-06-22,2.7991245,2021
Brazil,2021-06-23,2.7972991,2021
Brazil,2021-06-24,2.7954955,2021
Brazil,2021-06-25,2.790932,2021
Brazil,2021-06-26,2.7908103,2021
Brazil,2021-06-27,2.7896562,2021
Brazil,2021-06-28,2.7885895,2021
Brazil,2021-06-29,2.7874992,2021
Brazil,2021-06-30,2.7866478,2021
Brazil,2021-07-01,2.7871037,2021
Brazil,2021-07-02,2.791734,2021
Brazil,2021-07-03,2.7928607,2021
Brazil,2021-07-04,2.7930589,2021
Brazil,2021-07-05,2.7936523,2021
Brazil,2021-07-06,2.793939,2021
Brazil,2021-07-07,2.794262,2021
Brazil,2021-07-08,2.7944396,2021
Brazil,2021-07-09,2.7951715,2021
Brazil,2021-07-10,2.7958953,2021
Brazil,2021-07-11,2.795342,2021
Brazil,2021-07-12,2.794551,2021
Brazil,2021-07-13,2.7946029,2021
Brazil,2021-07-14,2.796011,2021
Brazil,2021-07-15,2.7978184,2021
Brazil,2021-07-16,2.7975094,2021
Brazil,2021-07-17,2.7978792,2021
Brazil,2021-07-18,2.7988136,2021
Brazil,2021-07-19,2.7983325,2021
Brazil,2021-07-20,2.7982965,2021
Brazil,2021-07-21,2.798888,2021
Brazil,2021-07-22,2.802244,2021
Brazil,2021-07-23,2.8017116,2021
Brazil,2021-07-24,2.8018034,2021
Brazil,2021-07-25,2.7930298,2021
Brazil,2021-07-26,2.7932541,2021
Brazil,2021-07-27,2.7930999,2021
Brazil,2021-07-28,2.79334,2021
Brazil,2021-07-29,2.7942324,2021
Brazil,2021-07-30,2.7942445,2021
Brazil,2021-07-31,2.7949326,2021
Brazil,2021-08-01,2.7940261,2021
Brazil,2021-08-02,2.7933228,2021
Brazil,2021-08-03,2.7927775,2021
Brazil,2021-08-04,2.7926078,2021
Brazil,2021-08-05,2.7941415,2021
Brazil,2021-08-06,2.794328,2021
Brazil,2021-08-07,2.7942271,2021
Brazil,2021-08-08,2.7936203,2021
Brazil,2021-08-09,2.7925673,2021
Brazil,2021-08-10,2.792622,2021
Brazil,2021-08-11,2.7929864,2021
Brazil,2021-08-12,2.7941573,2021
Brazil,2021-08-13,2.7944956,2021
Brazil,2021-08-14,2.794647,2021
Brazil,2021-08-15,2.794734,2021
Brazil,2021-08-16,2.7950075,2021
Brazil,2021-08-17,2.7944179,2021
Brazil,2021-08-18,2.794563,2021
Brazil,2021-08-19,2.794832,2021
Brazil,2021-08-20,2.7943342,2021
Brazil,2021-08-21,2.7941597,2021
Brazil,2021-08-22,2.7937853,2021
Brazil,2021-08-23,2.7933226,2021
Brazil,2021-08-24,2.7929125,2021
Brazil,2021-08-25,2.792694,2021
Brazil,2021-08-26,2.7928486,2021
Brazil,2021-08-27,2.7930734,2021
Brazil,2021-08-28,2.793332,2021
Brazil,2021-08-29,2.7933183,2021
Brazil,2021-08-30,2.7932897,2021
Brazil,2021-08-31,2.7929475,2021
Brazil,2021-09-01,2.7928207,2021
Brazil,2021-09-02,2.7935536,2021
Brazil,2021-09-03,2.7934244,2021
Brazil,2021-09-04,2.793568,2021
Brazil,2021-09-05,2.7937684,2021
Brazil,2021-09-06,2.7941651,2021
Brazil,2021-09-07,2.793711,2021
Brazil,2021-09-08,2.7933583,2021
Brazil,2021-09-09,2.7932618,2021
Brazil,2021-09-10,2.7925305,2021
Brazil,2021-09-11,2.7920074,2021
Brazil,2021-09-12,2.793088,2021
Brazil,2021-09-13,2.7945755,2021
Brazil,2021-09-14,2.794558,2021
Brazil,2021-09-15,2.7946975,2021
Brazil,2021-09-16,2.7963927,2021
Brazil,2021-09-17,2.7982311,2021
Brazil,2021-09-18,2.7967134,2021
Brazil,2021-09-19,2.7968068,2021
Brazil,2021-09-20,2.7814364,2021
Brazil,2021-09-21,2.7813468,2021
Brazil,2021-09-22,2.78127,2021
Brazil,2021-09-23,2.7836277,2021
Brazil,2021-09-24,2.7829733,2021
Brazil,2021-09-25,2.7828002,2021
Brazil,2021-09-26,2.7835412,2021
Brazil,2021-09-27,2.7840114,2021
Brazil,2021-09-28,2.7840192,2021
Brazil,2021-09-29,2.7831228,2021
Brazil,2021-09-30,2.7848277,2021
Brazil,2021-10-01,2.785676,2021
Brazil,2021-10-02,2.7850235,2021
Brazil,2021-10-03,2.7848303,2021
Brazil,2021-10-04,2.7854035,2021
Brazil,2021-10-05,2.7852833,2021
Brazil,2021-10-06,2.7848814,2021
Brazil,2021-10-07,2.785371,2021
Brazil,2021-10-08,2.7855182,2021
Brazil,2021-10-09,2.7855957,2021
Brazil,2021-10-10,2.7861006,2021
Brazil,2021-10-11,2.7858486,2021
Brazil,2021-10-12,2.7855766,2021
Brazil,2021-10-13,2.7856197,2021
Brazil,2021-10-14,2.785527,2021
Brazil,2021-10-15,2.7853293,2021
Brazil,2021-10-16,2.785917,2021
Brazil,2021-10-17,2.7865896,2021
Brazil,2021-10-18,2.787373,2021
Brazil,2021-10-19,2.7872345,2021
Brazil,2021-10-20,2.7871213,2021
Brazil,2021-10-21,2.7872531,2021
Brazil,2021-10-22,2.7869668,2021
Brazil,2021-10-23,2.7868807,2021
