Data Source,Indicator,Indicator Measure,Gender,Geography,Denominator,Numerator,Prevalence,Lower 95% CI (Prevalence),Upper 95% CI (Prevalence),Confidence interval type,Release Flag (Prevalence),Comparison with Canada
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Saskatchewan,282,122,45.9,38.9,52.9,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Manitoba,281,142,51.0,44.4,57.5,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Ontario,554,267,46.7,42.0,51.3,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Quebec,523,329,62.1,57.5,66.6,Wald,C,significantly higher
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,New Brunswick,279,118,40.6,34.2,47.0,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Nova Scotia,286,140,45.1,38.5,51.8,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Prince Edward Island,225,114,48.4,41.2,55.5,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Newfoundland And Labrador,230,127,52.4,45.2,59.6,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Yukon (Whitehorse),202,99,49.2,41.7,56.6,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Northwest Territories (Yellowknife),178,75,40.0,31.3,48.7,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Nunavut (Iqaluit),81,29,37.7,26.1,49.2,Wald,A,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Canada,2827,1631,53.9,51.2,56.7,Wald,C,
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,British Columbia,255,148,53.1,46.1,60.0,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Alberta,242,122,47.3,39.2,55.4,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Saskatchewan,188,102,54.0,45.6,62.4,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Manitoba,222,121,52.6,44.8,60.3,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Ontario,450,237,49.3,44.0,54.6,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Quebec,396,270,65.1,59.6,70.6,Wald,C,significantly higher
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,New Brunswick,187,105,52.7,44.3,61.1,Wald,C,not significantly different
