Data Source,Indicator,Indicator Measure,Gender,Geography,Denominator,Numerator,Prevalence,Lower 95% CI (Prevalence),Upper 95% CI (Prevalence),Confidence interval type,Release Flag (Prevalence),Comparison with Canada
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Prince Edward Island,719,105,15.9,12.2,19.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Newfoundland And Labrador,689,91,13.5,10.3,16.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Yukon (Whitehorse),450,72,17.2,13.3,21.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Northwest Territories (Yellowknife),366,57,18.2,13.0,23.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Nunavut (Iqaluit),205,42,24.4,16.2,32.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Canada,7935,799,10.9,9.8,12.1,Wald,C,
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,British Columbia,737,86,13.8,10.5,17.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Alberta,725,86,14.8,11.1,18.5,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Saskatchewan,546,56,11.6,8.2,15.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Manitoba,634,86,16.0,12.2,19.8,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Ontario,1294,128,10.4,8.3,12.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Quebec,1115,72,7.1,5.2,9.0,Wald,C,significantly lower
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,New Brunswick,541,70,14.8,11.1,18.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Nova Scotia,562,53,10.8,7.3,14.3,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Prince Edward Island,451,46,12.3,8.2,16.5,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Newfoundland And Labrador,518,40,9.4,5.8,13.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Yukon (Whitehorse),308,31,16.3,11.0,21.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Northwest Territories (Yellowknife),330,30,10.1,5.8,14.3,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,males,Nunavut (Iqaluit),174,15,10.2,4.3,16.2,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Canada,12037,1732,15.2,14.2,16.2,Wald,C,
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,British Columbia,1122,169,17.2,14.4,20.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Alberta,1072,181,18.3,15.5,21.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Saskatchewan,873,121,14.4,11.5,17.3,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Manitoba,961,166,20.1,17.0,23.3,Wald,C,significantly higher
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Ontario,1927,297,15.9,13.9,17.8,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Quebec,1661,172,10.5,8.9,12.1,Wald,C,significantly lower
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,New Brunswick,855,134,17.4,14.1,20.6,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Nova Scotia,941,138,16.5,13.2,19.9,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Prince Edward Island,803,99,14.1,11.1,17.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Newfoundland And Labrador,823,96,11.5,9.0,14.0,Wald,C,significantly lower
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Yukon (Whitehorse),411,66,15.0,11.4,18.6,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Northwest Territories (Yellowknife),358,51,16.8,11.6,22.0,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Nunavut (Iqaluit),230,42,21.5,14.0,28.9,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Canada,6878,1134,17.5,16.0,19.0,Wald,C,
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,British Columbia,625,98,17.4,13.8,21.0,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Alberta,588,116,22.1,17.9,26.3,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Saskatchewan,517,84,15.5,12.1,18.9,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Manitoba,546,100,21.9,17.3,26.4,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Ontario,1069,190,18.9,16.0,21.8,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Quebec,939,108,12.5,10.0,15.0,Wald,C,significantly lower
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,New Brunswick,500,83,17.0,13.1,20.8,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Nova Scotia,577,102,20.0,16.1,23.8,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Prince Edward Island,494,70,15.5,11.6,19.5,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Newfoundland And Labrador,459,65,14.1,10.4,17.8,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Yukon (Whitehorse),248,52,23.3,17.0,29.5,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Northwest Territories (Yellowknife),190,35,20.4,13.4,27.5,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Nunavut (Iqaluit),126,31,30.6,18.8,42.5,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Canada,5134,585,12.6,11.2,14.0,Wald,C,
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,British Columbia,495,70,16.9,12.7,21.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Alberta,482,63,14.1,10.3,17.9,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Saskatchewan,353,36,13.1,8.3,17.9,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Manitoba,411,63,17.1,12.6,21.7,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Ontario,854,106,12.7,10.1,15.4,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Quebec,718,62,8.3,6.0,10.5,Wald,C,significantly lower
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,New Brunswick,355,51,17.8,12.6,23.0,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Nova Scotia,363,35,12.9,7.5,18.3,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Prince Edward Island,308,29,12.6,7.9,17.3,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Newfoundland And Labrador,363,30,8.6,5.2,12.0,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Yukon (Whitehorse),160,13,6.5,2.9,10.0,Wald,C,significantly lower
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Northwest Territories (Yellowknife),168,16,13.3,5.6,21.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Nunavut (Iqaluit),104,11,10.5,2.9,18.1,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Canada,6419,1144,18.8,17.3,20.3,Wald,C,
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,British Columbia,561,106,22.5,18.3,26.6,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Alberta,548,118,24.6,20.3,28.9,Wald,C,significantly higher
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Saskatchewan,456,90,19.7,15.4,24.0,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Manitoba,490,98,21.9,17.6,26.3,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Ontario,972,177,19.6,16.6,22.5,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Quebec,894,101,11.9,9.2,14.5,Wald,C,significantly lower
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,New Brunswick,455,88,21.9,16.9,27.0,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Nova Scotia,484,84,17.4,13.5,21.2,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Prince Edward Island,354,63,16.3,11.7,20.9,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Newfoundland And Labrador,374,51,14.9,10.2,19.6,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Yukon (Whitehorse),348,75,24.1,18.4,29.9,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Northwest Territories (Yellowknife),337,64,18.0,13.1,22.9,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Nunavut (Iqaluit),146,29,23.5,14.9,32.2,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Canada,3655,764,22.3,20.2,24.5,Wald,C,
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,British Columbia,313,75,28.3,22.4,34.2,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Alberta,306,75,27.1,21.5,32.8,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Saskatchewan,275,60,21.3,15.7,26.8,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Manitoba,273,58,20.4,15.3,25.5,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Ontario,535,120,24.9,20.5,29.3,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Quebec,506,62,11.9,8.6,15.2,Wald,C,significantly lower
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,New Brunswick,272,62,26.5,19.5,33.6,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Nova Scotia,284,58,22.7,16.8,28.6,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Prince Edward Island,218,43,17.6,12.1,23.1,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Newfoundland And Labrador,222,40,19.3,13.0,25.6,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Yukon (Whitehorse),200,49,23.7,17.4,30.0,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Northwest Territories (Yellowknife),173,44,25.4,17.2,33.5,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Nunavut (Iqaluit),78,18,21.9,11.5,32.3,Wald,A,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Canada,2754,374,14.9,12.8,17.1,Wald,C,
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,British Columbia,247,31,16.5,10.6,22.4,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Alberta,240,42,21.8,15.3,28.4,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Saskatchewan,181,30,18.1,11.4,24.8,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Manitoba,217,40,23.5,16.6,30.4,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Ontario,434,55,13.6,9.6,17.5,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Quebec,388,39,11.8,7.7,15.9,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,New Brunswick,182,25,16.7,9.7,23.8,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Nova Scotia,200,26,11.7,6.7,16.6,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Prince Edward Island,136,20,14.9,7.5,22.3,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Newfoundland And Labrador,152,11,10.4,3.7,17.2,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Yukon (Whitehorse),146,25,24.4,14.7,34.1,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Northwest Territories (Yellowknife),163,19,10.4,5.1,15.7,Wald,C,not significantly different
2021 SCMH,Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,males,Nunavut (Iqaluit),68,11,25.1,12.1,38.0,Wald,A,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Canada,18456,2876,17.0,16.1,17.9,Wald,C,
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,British Columbia,1683,275,19.9,17.4,22.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Alberta,1620,299,21.4,18.8,24.1,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Saskatchewan,1329,211,17.0,14.5,19.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Manitoba,1451,264,21.0,18.4,23.7,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Ontario,2899,474,17.7,15.9,19.5,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Quebec,2555,273,11.2,9.6,12.7,Wald,C,significantly lower
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,New Brunswick,1310,222,19.7,16.6,22.8,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Nova Scotia,1425,222,17.0,14.3,19.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Prince Edward Island,1157,162,15.2,12.5,17.9,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Newfoundland And Labrador,1197,147,13.2,10.6,15.8,Wald,C,significantly lower
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Yukon (Whitehorse),759,141,19.7,16.3,23.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Northwest Territories (Yellowknife),695,115,17.4,13.9,21.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,all adults,Nunavut (Iqaluit),376,71,22.5,16.7,28.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Canada,10533,1898,19.9,18.6,21.2,Wald,C,
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,British Columbia,938,173,22.9,19.5,26.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Alberta,894,191,24.6,21.0,28.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Saskatchewan,792,144,18.4,15.1,21.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Manitoba,819,158,21.1,17.7,24.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Ontario,1604,310,21.9,19.2,24.5,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Quebec,1445,170,12.2,10.1,14.3,Wald,C,significantly lower
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,New Brunswick,772,145,21.8,17.7,26.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Nova Scotia,861,160,21.4,17.7,25.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Moderate to severe symptoms of major depressive disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of major depressive disorder,females,Prince Edward Island,712,113,16.6,13.1,20.0,Wald,C,not significantly different
