Entity,Day,Total confirmed cases of COVID-19 per million people
Brazil,2020-12-13,32506.041
Brazil,2020-12-14,32714.783
Brazil,2020-12-15,32818.562
Brazil,2020-12-16,32938.35
Brazil,2020-12-17,33142.29
Brazil,2020-12-18,33477.867
Brazil,2020-12-19,33809.887
Brazil,2020-12-20,34059.73
Brazil,2020-12-21,34298.32
Brazil,2020-12-22,34419.312
Brazil,2020-12-23,34538.277
Brazil,2020-12-24,34800.758
Brazil,2020-12-25,35022.797
Brazil,2020-12-26,35308.457
Brazil,2020-12-27,35417.664
Brazil,2020-12-28,35499.668
Brazil,2020-12-29,35587.535
Brazil,2020-12-30,35685.242
Brazil,2020-12-31,35964.44
Brazil,2021-01-01,36229.05
Brazil,2021-01-02,36499.008
Brazil,2021-01-03,36616
Brazil,2021-01-04,36691.258
Brazil,2021-01-05,36773.715
Brazil,2021-01-06,36868.844
Brazil,2021-01-07,37138.203
Brazil,2021-01-08,37439.81
Brazil,2021-01-09,37857.5
Brazil,2021-01-10,38104.926
Brazil,2021-01-11,38401.113
Brazil,2021-01-12,38542.773
Brazil,2021-01-13,38665.555
Brazil,2021-01-14,38969.992
Brazil,2021-01-15,39259.562
Brazil,2021-01-16,39581.75
Brazil,2021-01-17,39910.785
Brazil,2021-01-18,40203.535
Brazil,2021-01-19,40360.64
Brazil,2021-01-20,40473.195
Brazil,2021-01-21,40768.45
Brazil,2021-01-22,41074.598
Brazil,2021-01-23,41355.707
Brazil,2021-01-24,41624.61
Brazil,2021-01-25,41921.004
Brazil,2021-01-26,42055.68
Brazil,2021-01-27,42183.19
Brazil,2021-01-28,42477.82
Brazil,2021-01-29,42779.855
Brazil,2021-01-30,43073.766
Brazil,2021-01-31,43358.24
Brazil,2021-02-01,43636.223
Brazil,2021-02-02,43768.203
Brazil,2021-02-03,43885.13
Brazil,2021-02-04,44142.355
Brazil,2021-02-05,44408.645
Brazil,2021-02-06,44679.074
Brazil,2021-02-07,44920.97
Brazil,2021-02-08,45161.71
Brazil,2021-02-09,45289.36
Brazil,2021-02-10,45400.81
Brazil,2021-02-11,45645.625
Brazil,2021-02-12,45929.03
Brazil,2021-02-13,46189.33
Brazil,2021-02-14,46434.426
Brazil,2021-02-15,46645.066
Brazil,2021-02-16,46762.793
Brazil,2021-02-17,46915.89
Brazil,2021-02-18,47178.703
Brazil,2021-02-19,47448.62
Brazil,2021-02-20,47695.305
Brazil,2021-02-21,47938.047
Brazil,2021-02-22,48211.324
Brazil,2021-02-23,48349.344
Brazil,2021-02-24,48477.66
Brazil,2021-02-25,48775.867
Brazil,2021-02-26,49092.492
Brazil,2021-02-27,49406.31
Brazil,2021-02-28,49716.188
Brazil,2021-03-01,50009.1
Brazil,2021-03-02,50170.9
Brazil,2021-03-03,50340.85
Brazil,2021-03-04,50625.793
Brazil,2021-03-05,50966.742
Brazil,2021-03-06,51323.85
Brazil,2021-03-07,51682.83
Brazil,2021-03-08,52013.816
Brazil,2021-03-09,52396.63
Brazil,2021-03-10,52550.312
Brazil,2021-03-11,52886.793
Brazil,2021-03-12,53266.6
Brazil,2021-03-13,53625.184
Brazil,2021-03-14,54032.508
Brazil,2021-03-15,54394.73
Brazil,2021-03-16,54603.06
Brazil,2021-03-17,54775.37
